iter	RMSE
0	14.04902515
1	13.20277555
2	12.44325007
3	11.73390658
4	11.06616689
5	10.51892195
6	10.06444735
7	9.641791564
8	9.259233732
9	8.867805286
10	8.541878316
11	8.23068324
12	7.995288269
13	7.690141586
14	7.44277432
15	7.237353953
16	7.042411736
17	6.899301849
18	6.750397155
19	6.624954348
20	6.502332572
21	6.406868506
22	6.326186865
23	6.237629164
24	6.16670552
25	6.110096564
26	6.050916593
27	5.989007026
28	5.942206352
29	5.884128492
30	5.849279609
31	5.797033387
32	5.756768179
33	5.733248116
34	5.700046492
35	5.68327707
36	5.660542731
37	5.630366322
38	5.623352945
39	5.595248587
40	5.573345849
41	5.559281302
42	5.543396222
43	5.521086585
44	5.492426449
45	5.477895422
46	5.461239476
47	5.451830879
48	5.438261293
49	5.429554898
50	5.413146688
51	5.403824947
52	5.395350114
53	5.389798674
54	5.378702661
55	5.358608012
56	5.348834509
57	5.344278385
58	5.332299589
59	5.324024877
60	5.310232763
61	5.302820736
62	5.294739854
63	5.288924148
