iter	Passed	Remaining
0	59	59622
1	60	29973
2	60	20076
3	60	15146
4	61	12172
5	61	10188
6	61	8767
7	62	7700
8	62	6871
9	62	6207
10	63	5669
11	63	5221
12	63	4843
13	64	4517
14	64	4233
15	64	3988
16	65	3768
17	65	3572
18	65	3397
19	66	3246
20	66	3102
21	66	2972
22	67	2853
23	67	2744
24	67	2643
25	68	2552
26	68	2465
27	68	2385
28	69	2310
29	69	2239
30	69	2175
31	69	2114
32	70	2056
33	70	2001
34	70	1950
35	71	1901
36	71	1856
37	71	1812
38	71	1771
39	72	1731
40	72	1694
41	72	1658
42	73	1624
43	73	1592
44	73	1561
45	73	1531
46	74	1502
47	74	1475
48	74	1449
49	74	1423
50	75	1399
51	75	1376
52	75	1353
53	76	1332
54	76	1311
55	76	1291
56	76	1271
57	77	1252
58	77	1234
59	77	1217
60	77	1200
61	78	1184
62	78	1169
63	78	1153
64	79	1138
65	79	1123
66	79	1109
67	79	1093
68	80	1079
69	80	1066
70	80	1054
71	80	1042
72	81	1030
73	81	1018
74	81	1007
75	81	996
76	82	986
77	82	976
78	82	967
79	83	958
80	83	949
81	83	940
82	84	931
83	84	922
84	84	914
85	85	906
86	85	898
87	86	891
88	86	884
89	86	877
90	87	869
91	87	862
92	87	856
93	88	848
94	88	841
95	88	834
96	89	829
97	89	823
98	89	817
99	90	810
100	90	804
101	90	797
102	90	791
103	91	785
104	91	780
105	91	775
106	92	771
107	92	765
108	92	760
109	93	754
110	93	749
111	93	743
112	94	738
113	94	733
114	94	728
115	94	723
116	95	719
117	95	715
118	95	710
119	96	705
120	96	701
121	96	697
122	97	692
123	97	689
124	98	686
125	98	682
126	98	678
127	98	673
128	99	669
129	99	665
130	99	662
131	100	658
132	100	654
133	100	650
134	101	647
135	101	643
136	101	640
137	101	636
138	102	633
139	102	630
140	102	626
141	103	623
142	103	620
143	103	616
144	104	613
145	104	611
146	104	607
147	105	604
148	105	601
149	105	598
150	105	595
151	106	592
152	106	590
153	107	588
154	107	585
155	107	582
156	107	579
157	108	576
158	108	574
159	108	571
160	109	568
161	109	566
162	109	563
163	110	561
164	110	558
165	110	556
166	110	553
167	111	550
168	111	548
169	112	546
170	112	544
171	112	542
172	113	540
173	113	538
174	113	536
175	114	534
176	114	532
177	114	530
178	115	528
179	115	526
180	115	523
181	115	521
182	116	518
183	116	516
184	116	514
185	117	512
186	117	510
187	117	508
188	118	506
189	118	504
190	118	502
191	118	500
192	119	498
193	119	496
194	119	494
195	120	492
196	120	491
197	120	490
198	121	488
199	121	486
200	121	484
201	122	483
202	122	481
203	122	479
204	123	478
205	123	476
206	124	475
207	124	473
208	124	472
209	125	470
210	125	468
211	125	467
212	126	465
213	126	464
214	126	462
215	126	460
216	127	459
217	127	457
218	127	456
219	128	454
220	128	453
221	128	451
222	129	450
223	129	449
224	129	447
225	130	446
226	130	444
227	130	443
228	131	441
229	131	440
230	131	439
231	132	437
232	132	437
