iter	Passed	Remaining
0	57	57315
1	57	28868
2	58	19335
3	58	14611
4	59	11762
5	59	9846
6	59	8493
7	60	7474
8	60	6677
9	61	6051
10	61	5524
11	61	5084
12	62	4712
13	62	4402
14	62	4126
15	63	3882
16	63	3669
17	63	3480
18	64	3311
19	64	3161
20	64	3021
21	65	2895
22	65	2780
23	65	2675
24	66	2580
25	66	2491
26	66	2407
27	67	2333
28	67	2260
29	67	2192
30	68	2129
31	68	2069
32	68	2014
33	69	1960
34	69	1911
35	69	1864
36	69	1819
37	70	1779
38	70	1743
39	71	1708
40	71	1673
41	71	1638
42	72	1605
43	72	1575
44	72	1548
45	73	1520
46	73	1494
47	73	1467
48	74	1442
49	74	1418
50	74	1395
51	75	1372
52	75	1350
53	75	1329
54	76	1308
55	76	1289
56	76	1270
57	77	1254
58	77	1236
59	77	1219
60	78	1204
61	78	1189
62	79	1175
63	79	1161
64	79	1146
65	80	1133
66	80	1120
67	80	1107
68	81	1094
69	81	1081
70	81	1069
71	81	1056
72	82	1045
73	82	1033
74	82	1023
75	83	1013
76	83	1004
77	84	995
78	84	985
79	84	976
80	85	968
81	85	960
82	86	950
83	86	941
84	86	932
85	86	924
86	87	916
87	87	908
88	88	900
89	88	893
90	88	885
91	89	879
92	89	873
93	89	866
94	90	859
95	90	853
96	90	846
97	91	839
98	91	833
99	91	827
100	92	820
101	92	814
102	92	808
103	93	801
104	93	796
105	93	790
106	94	785
107	94	780
108	94	774
109	95	769
110	95	765
111	95	760
112	96	754
113	96	749
114	96	744
115	97	741
116	97	735
117	97	730
118	98	725
119	98	721
120	98	716
121	98	712
122	99	708
123	99	705
124	100	701
125	100	698
126	100	693
127	101	689
128	101	686
129	101	682
130	102	678
131	102	674
132	103	671
133	103	667
134	103	664
135	104	661
136	104	658
137	104	655
138	105	651
139	105	649
140	106	645
141	106	641
142	106	638
143	106	635
144	107	632
145	107	629
146	108	627
147	108	623
148	108	620
149	109	617
150	109	614
151	109	611
152	109	608
153	110	605
154	110	602
155	110	599
156	111	596
157	111	594
158	111	592
159	112	589
160	112	586
161	112	583
162	113	580
163	113	578
164	113	576
165	114	573
166	114	570
167	114	568
168	115	566
169	115	563
170	115	561
171	116	559
172	116	557
173	116	554
174	117	552
175	117	549
176	117	547
177	118	545
178	118	543
179	118	541
180	119	539
181	119	536
182	119	534
183	120	532
184	120	530
185	120	528
186	121	526
187	121	525
188	122	523
189	122	522
190	122	520
191	123	518
192	123	516
193	123	514
194	124	512
195	124	510
196	124	508
197	125	507
198	125	506
199	126	504
200	126	502
201	126	501
202	127	499
203	127	498
204	128	496
205	128	494
206	128	492
207	129	491
208	129	489
209	129	487
210	129	486
211	130	484
212	130	482
213	131	481
214	131	480
215	131	479
216	132	477
217	132	476
218	133	475
219	133	473
220	133	471
221	134	470
222	134	468
223	134	466
224	134	464
225	135	463
226	135	461
227	136	461
228	136	459
229	136	458
230	137	457
231	137	456
232	138	455
233	138	454
234	139	453
235	139	451
236	139	450
237	140	448
238	140	447
239	140	445
240	141	444
241	141	442
242	141	441
243	141	439
244	142	438
245	142	437
246	142	435
247	143	434
248	143	433
249	143	431
250	144	430
251	144	429
252	144	427
253	145	426
254	145	425
255	145	424
256	146	422
257	146	421
258	147	420
259	147	419
260	147	418
261	148	417
262	148	416
263	148	414
264	149	413
265	149	412
266	149	411
267	150	410
268	150	408
269	150	407
270	151	406
271	151	405
272	151	404
273	152	403
274	152	402
275	152	400
276	153	399
277	153	398
278	153	397
279	154	396
280	154	395
281	155	394
282	155	393
283	155	392
284	156	392
285	156	391
286	157	390
287	157	389
288	157	388
289	158	387
290	158	386
291	158	385
292	159	384
293	159	383
294	159	382
295	160	381
296	160	379
297	160	379
298	161	378
299	161	377
300	161	376
301	162	375
302	162	374
303	163	373
304	163	372
305	163	371
306	164	370
307	164	369
308	164	368
309	165	367
310	165	366
311	165	365
312	166	364
313	166	364
314	166	363
315	167	362
316	167	361
317	168	360
318	168	359
319	169	359
320	169	358
321	169	357
322	170	356
323	170	355
324	171	355
325	171	354
326	171	353
327	172	352
328	172	352
329	173	351
330	173	350
331	173	349
332	174	349
333	174	348
334	175	347
335	175	346
336	175	345
337	176	344
338	176	343
339	176	342
340	176	341
341	177	340
342	177	340
343	178	339
344	178	338
345	178	337
346	178	336
347	179	335
348	179	334
349	179	333
350	180	333
351	180	332
352	180	331
353	181	330
354	181	329
355	181	328
356	181	327
357	182	326
358	182	325
359	182	325
360	183	324
361	183	323
362	183	322
363	183	321
364	184	320
365	184	319
366	184	318
367	185	317
368	185	317
369	185	316
370	186	315
371	186	314
372	186	314
373	187	313
374	187	312
375	187	311
376	187	310
377	188	309
378	188	308
379	189	308
380	189	307
381	189	307
382	190	306
383	190	305
384	190	304
385	191	303
386	191	303
387	191	302
388	191	301
389	192	300
390	192	299
391	192	299
392	193	298
393	193	297
394	193	296
395	194	296
396	194	295
397	194	294
398	194	293
399	195	292
400	195	292
401	195	291
402	196	290
403	196	289
404	196	288
405	196	288
406	197	287
407	197	286
408	197	285
409	197	284
410	198	284
411	198	283
412	198	282
413	199	281
414	199	280
415	199	280
416	199	279
417	200	278
418	200	278
419	200	277
420	201	276
421	201	275
422	201	275
423	201	274
424	202	273
425	202	272
426	202	272
427	203	271
428	203	270
429	203	270
430	204	269
431	204	268
432	204	267
433	204	267
434	205	266
435	205	265
436	205	265
437	206	264
438	206	263
439	206	262
440	206	262
441	207	261
442	207	260
443	207	260
444	208	259
445	208	259
446	208	258
447	209	257
448	209	256
449	209	256
450	210	255
451	210	255
452	210	254
453	210	253
454	211	253
455	211	252
456	211	251
457	212	250
458	212	250
459	212	249
460	212	248
461	213	248
462	213	247
463	214	247
464	214	246
465	214	245
466	215	245
467	215	245
468	215	244
469	216	243
470	216	243
471	216	242
472	217	241
473	217	241
474	217	240
475	218	240
476	218	239
477	218	238
478	219	238
479	219	237
480	219	237
481	219	236
482	220	235
483	220	235
484	221	234
485	221	234
486	221	233
487	221	232
488	222	232
489	222	231
490	222	230
491	223	230
492	223	229
493	223	229
494	223	228
495	224	227
496	224	227
497	224	226
498	225	225
499	225	225
500	225	224
501	225	224
502	226	223
503	226	222
504	226	222
505	227	222
506	227	221
507	228	220
508	228	220
509	228	219
510	228	219
511	229	218
512	229	217
513	229	217
514	230	216
515	230	216
516	230	215
517	231	215
518	231	214
519	231	213
520	231	213
521	232	212
522	232	211
523	232	211
524	233	210
525	233	210
526	233	209
527	233	209
528	234	208
529	234	207
530	234	207
531	235	206
532	235	206
533	235	205
534	236	205
535	236	204
536	236	204
537	236	203
538	237	202
539	237	202
540	237	201
541	238	201
542	238	200
543	238	200
544	238	199
545	239	198
546	239	198
547	239	197
548	240	197
549	240	196
550	240	196
551	241	195
552	241	195
553	241	194
554	242	194
555	242	193
556	242	192
557	242	192
558	243	191
559	243	191
560	243	190
561	243	190
562	244	189
563	244	189
564	244	188
565	245	187
566	245	187
567	245	186
568	245	186
569	246	185
570	246	185
571	247	184
572	247	184
573	247	183
574	247	183
575	248	182
576	248	182
577	248	181
578	249	181
579	249	180
580	249	180
581	249	179
582	250	178
583	250	178
584	250	177
585	251	177
586	251	176
587	251	176
588	251	175
589	252	175
590	252	174
591	252	174
592	253	173
593	253	173
594	253	172
595	253	172
596	254	171
597	254	171
598	254	170
599	255	170
600	255	169
601	255	169
602	255	168
603	256	167
604	256	167
605	256	166
606	257	166
607	257	165
608	257	165
609	257	164
610	258	164
611	258	163
612	258	163
613	259	162
614	259	162
615	259	161
616	259	161
617	260	160
618	260	160
619	260	159
620	260	159
621	261	158
622	261	158
623	261	157
624	261	157
625	262	156
626	262	156
627	262	155
628	263	155
629	263	154
630	263	154
631	263	153
632	264	153
633	264	152
634	264	152
635	265	151
636	265	151
637	265	150
638	265	150
639	266	149
640	266	149
641	266	148
642	266	148
643	267	147
644	267	147
645	267	146
646	267	146
647	268	145
648	268	145
649	268	144
650	269	144
651	269	143
652	269	143
653	269	142
654	270	142
655	270	141
656	270	141
657	271	140
658	271	140
659	271	139
660	271	139
661	272	138
662	272	138
663	272	137
664	272	137
665	273	137
666	273	136
667	273	136
668	274	135
669	274	135
670	274	134
671	274	134
672	275	133
673	275	133
674	275	132
675	275	132
676	276	131
677	276	131
678	276	130
679	276	130
680	277	129
681	277	129
682	277	128
683	277	128
684	278	127
685	278	127
686	278	127
687	279	126
688	279	126
689	279	125
690	279	125
691	280	124
692	280	124
693	280	123
694	280	123
695	281	122
696	281	122
697	281	121
698	282	121
699	282	121
700	282	120
701	283	120
702	283	119
703	283	119
704	283	118
705	284	118
706	284	117
707	284	117
708	284	116
709	285	116
710	285	115
711	285	115
712	285	115
713	286	114
714	286	114
715	286	113
716	286	113
717	287	112
718	287	112
719	287	111
720	288	111
721	288	111
722	288	110
723	288	110
724	289	109
725	289	109
726	289	108
727	289	108
728	290	107
729	290	107
730	290	106
731	291	106
732	291	106
733	291	105
734	291	105
735	292	104
736	292	104
737	292	103
738	292	103
739	293	103
740	293	102
741	293	102
742	294	101
743	294	101
744	294	100
745	294	100
746	295	99
747	295	99
748	295	99
749	296	98
750	296	98
751	296	97
752	296	97
753	297	96
754	297	96
755	297	96
756	297	95
757	298	95
758	298	94
759	298	94
760	299	93
761	299	93
762	299	93
763	299	92
764	300	92
765	300	91
766	300	91
767	301	90
768	301	90
